array size;quicksort parallel;quicksort sequential
4;0.001;0.000
5;0.000;0.000
6;0.003;0.000
7;0.003;0.000
8;0.004;0.000
9;0.002;0.000
10;0.000;0.000
11;0.002;0.000
12;0.001;0.000
13;0.003;0.000
14;0.004;0.001
15;0.004;0.002
16;0.006;0.004
17;0.010;0.010
18;0.018;0.019
19;0.035;0.044
20;0.078;0.090
21;0.161;0.177
22;0.292;0.376
23;0.605;0.773
24;

