array size;mergesort optimized;mergesort sequential;mergesort parallel
4;0.002;0.000;0.005
5;0.000;0.000;0.000
6;0.005;0.000;0.002
7;0.002;0.000;0.002
8;0.000;0.000;0.002
9;0.001;0.000;0.002
10;0.001;0.000;0.004
11;0.001;0.000;0.005
12;0.001;0.000;0.009
13;0.003;0.001;0.013
14;0.002;0.002;0.030
15;0.004;0.003;0.043
16;0.005;0.007;0.093
17;0.011;0.014;0.213
18;0.021;0.034;0.429
19;0.043;0.060;0.710
20;0.087;0.126;
21;0.174;0.257;
22;0.347;0.562;
23;0.723;
24;

