threads number;bubble optimized;bubble sequential;bubble parallel
1;0.027;0.019;0.023
2;0.005;0.020;
4;0.007;0.022;
8;0.004;0.019;0.446
16;0.005;0.019;0.347
32;0.006;0.019;0.402
64;0.007;0.019;0.558
128;0.009;0.019;0.989
256;0.015;0.020;
512;0.033;0.019;
1024;0.055;0.019;
