array size;bubble optimized;bubble sequential;bubble parallel
5;0.015;0.000;0.038
6;0.012;0.000;0.004
7;0.007;0.000;0.042
8;0.008;0.000;0.006
9;0.008;0.000;0.457
10;0.009;0.001;0.229
11;0.002;0.005;0.140
12;0.005;0.019;0.944
13;0.010;0.096;
14;0.039;0.429;
15;0.168;;
16;0.672;;
17;;;

